Show,episode_number
1/11/99,1
1/12/99,2
1/13/99,3
1/14/99,4
1/15/99,5
1/18/99,6
1/19/99,7
1/20/99,8
1/21/99,9
1/22/99,10
1/25/99,11
1/26/99,12
1/27/99,13
1/28/99,14
1/29/99,15
2/1/99,16
2/2/99,17
2/3/99,18
2/4/99,19
2/5/99,20
2/8/99,21
2/9/99,22
2/10/99,23
2/11/99,24
2/12/99,25
2/15/99,26
2/16/99,27
2/17/99,28
2/18/99,29
2/19/99,30
2/22/99,31
2/23/99,32
2/24/99,33
2/25/99,34
2/26/99,35
3/1/99,36
3/2/99,37
3/3/99,38
3/4/99,39
3/5/99,40
3/8/99,41
3/9/99,42
3/10/99,43
3/11/99,44
3/12/99,45
3/15/99,46
3/16/99,47
3/17/99,48
3/18/99,49
3/19/99,50
3/22/99,51
3/23/99,52
3/24/99,53
3/25/99,54
3/26/99,55
3/29/99,56
3/30/99,57
3/31/99,58
4/1/99,59
4/12/99,60
4/13/99,61
4/14/99,62
4/15/99,63
4/16/99,64
4/19/99,65
4/20/99,66
4/21/99,67
4/22/99,68
4/26/99,69
4/27/99,70
4/28/99,71
4/29/99,72
4/30/99,73
5/3/99,74
5/4/99,75
5/10/99,76
5/12/99,77
5/13/99,78
5/17/99,79
5/18/99,80
5/19/99,81
5/20/99,82
5/24/99,83
5/25/99,84
5/26/99,85
5/27/99,86
6/1/99,87
6/10/99,88
6/14/99,89
6/15/99,90
6/16/99,91
6/17/99,92
6/21/99,93
6/22/99,94
6/23/99,95
6/24/99,96
6/25/99,97
6/28/99,98
6/29/99,99
6/30/99,100
7/8/99,101
7/9/99,102
7/12/99,103
7/13/99,104
7/14/99,105
7/15/99,106
7/19/99,107
7/20/99,108
7/21/99,109
7/22/99,110
7/23/99,111
7/26/99,112
7/29/99,113
8/2/99,114
8/10/99,115
8/11/99,116
8/12/99,117
8/16/99,118
8/17/99,119
8/18/99,120
8/19/99,121
8/23/99,122
8/24/99,123
8/25/99,124
8/26/99,125
8/30/99,126
8/31/99,127
9/8/99,128
9/9/99,129
9/13/99,130
9/14/99,131
9/15/99,132
9/16/99,133
9/20/99,134
9/21/99,135
9/22/99,136
9/23/99,137
9/27/99,138
9/28/99,139
9/29/99,140
9/30/99,141
